Date (yyyymmdd),Time (PST),Task,
20130304 - 20130305,04:37 - 09:54,System down,
20130226,10:30,"Turned off system to clean filters, transmissometer, and fluorometer",
20130219,9:30,"Turned off system to clean filters, transmissometer, and fluorometer",
20130213,09:00-11:30,"Reinstalled O2 sensor. Cleaned, filters, transmissometer, and flourometer.",
20130208,11:00,"Turned off system to clean filters, transmissometer, and fluorometer",
20130207 - 20130208,16:42 - 13:33,System down. Oxygen optode temporarily offline.,
20130201,10:30,"Turned off system to clean filters, transmissometer, and fluorometer",
20130131 - 20130201,21:07 - 11:55,System down,
20130125,12:30,"Turned off system to clean filters, transmissometer, and fluorometer",
20130116,11:30,"Turned off system to clean filters, transmissometer, and fluorometer",
20130104,10:30,"Cleaned all (2) filters, Trans, Flour, pH probe. Adjst flow. All ok. Restarted Py data missing  Noted Plot date off. CH",
20121226,14:00,"Cleaned all (2) filters, Trans, Flour, pH probe. Adjst flow. All ok.  Noted Plot date off. CH",
20121218,13:30,Turned off systen to clean filters,
20121210,10:30,"Turned off system to clean filters, transmissometer, and fluorometer",
20121129,10:15,Turned off system to clean filters. Storm Surge.,
20121126,13:30,"Cleaning,  All sensors, O, pH, Chl, Trans, restart flow 1430 pst",
20121126,10:36,Power outage on 23 Nov All CPUs down.  Restart programs,
20121119,9:30,"Turned off system to clean filters, transmissometer, and fluorometer",
20121115,11:15,Turned off system to clean transmissometer and fluorometer,
20121111 - 20121115,14:07 - 10:34,System down,
20121105,9:30,"Turned off system to clean filters, transmissometer, and fluorometer",
20121025,10:00,"Turned off system to clean filters, fluorometer, and transmissometer",
20121019,15:00,Calibrated python program with new CTD,
20121018,12:00,"Turned off system to clean transmissometer, fluorometer, and change CTD",
20121013 - 20121015,13:33 - 07:39,System down,
20121011,9:40,"Turned off system to clean transmissometer, fluorometer, and filters",
20121010 -20121011,14:24 - 9:07,System down,
20121006 - 20121008,11:29 - 9:18,System down,
20120929,11:30,"Turned off system to clean transmissometer, fluorometer, filters, and oxgen optode.",
20120924,10:30,Turned system off to clean transmissometer and fluorometer.,
20120921 - 20120923,16:29 - 9:02,System down,
20120915 - 20120917,17:39 - 9:21,System down,
20120913,10:30,"Turned off system to clean transissometer, fluorometer, pH sensor, and filters.",
20120912 - 20120913,15:24 - 8:41,System down,
20120907 - 20120911,10:33 - 12:49,System down. Oxygen optode problem.,
20120901 - 20120904,14:14 - 9:06,System down,
20120830,15:00,Turned off system to clean transmissometer and fluorometer.,
20120829 - 20120830,14:44 - 9:05,System down,
20120828 - 20120829,14:06 - 11:57,System down,
20120828,12:48,System restart at CPU: NOTE: dreging in harbor ,
20120827 - 20120828,14:39 - 7:58,System down,
20120826 - 20120827,14:30 - 11:58,System down,
20120822,13:15,"Turned off system to clean transmissometer, fluorometer, filters, and oxgen optode.",
20120820,11:45,Turned off system to clean transmissometer and fluorometer.,
20120818 - 20120820,14:00 - 9:40,System down,
20120816 - 20120817,15:57 - 8:49,System down,
20120815 - 20120816,16:44 - 9:33,System down,
20120814,10:30,Turned off system to clean transmissometer. Oxygen optode back online.,
20120808 - 20120809,14:44 - 9:07,System down,
20120807 - 20120808,14:44 - 9:12,System down,
20120806 -20120807,14:39 - 8:53,System down,
20120806,11:30 - 12:30,Turned off system for buffer test and cleaned transmissometer and fluorometer,
20120724,10:45,Turned off system to clean transmissometer and fluorometer,
20120721 - 20120722,15:35 - 9:11,System down,
20120720 - 20120721,15:55 - 8:48,System down,
20120718,9:31 - 12:53,"System down. Program adjusted for missing oxygen optode and optode temp, DO, and saturtation set to negative numbers, temporarily.",
20120718,9:30,"Oxygen optode offline for calibration, until further notice",
20120716,11:00,"Turned off system to clean filters, transmissometer, fluorometer, and pH sensor",
20120711-20120712,9:40 - 9:43, Sam H reworked code for buffer problem currently no crash,
20120709 - 20120710,15:55 - 9:11,System down,
20120706 - 20120709,13:50 - 9:17,System down,
20120705,14:00 - 15:39,System down,
20120705,11:30,Turned off system to clean transmissometer and fluorometer. Replaced part on transmissometer.,
20120703 - 20120705,15:05 - 9:18,System down,
20120702 - 20120703,19:05 - 09:18,System down,
20120630 - 20120702,13:22 - 11:13,System down,
20120629 - 20120630,14:32 - 10:36,System down,
20120628 - 20120629,14:07 - 8:16,System down,
20120628,12:00,Turned off system to clean filters and oxygen optode.,
20120627 - 20120628,14:22 - 8:56,System down,
20120625 - 20120626,14:02 - 8:10,System down,
20120625,9:00,Turned off system to clean transmissometer and fluorometer.,
20120619,8:32,Restarted flow,
20120618,10:00 - 10:45,"Turned off system to clean filters, transmissometer, fluorometer, and oxygen optode.  ",
20120616 - 20120618,15:17 - 10:59,System down,
20120614,,Turned off system to clean transmissometer and fluorometer.,
20120613,,Added pH probe to website with graph.,
20120611,,Turned off system to clean transmissometer and fluorometer.,
20120607,11:52 - 12:25,Buffer test,
20120607,13:06,Adjusted pH value,
20120606,,Turned off system to clean transmissometer and fluorometer.,
20120504,,Added pH sensor to system,
20120411,10:50,"Turned off system to clean filters, transmissometer, and fluorometer.",
20120326,11:15,"Turned off system to clean filters, transmissometer, and fluorometer.",
20120305,11:00,"Turned off system to clean filters, transmissometer, and fluorometer.",
20120227,13:00,Turned off system to clean filters.,
20120220,12:30,Turned off system to clean filters.,
20120214,12:00,Turned off system to clean filters.,
20120213,10:00,Turned off system to clean filters.,
20120206,9:30 - 15:00,Changed CTD out on the SCI Seawater System. Exchanged 2738 for 2216. Reset calibration coefficients in Seawater Socket Python module. Cleaned oxygen optode and filters.,
20120125,,"Turned off system to clean filters, transmissometer, and fluorometer. Calibrated fluorometer and transmissometer.",
20120119,,Turned off system to clean transmissometer and fluorometer. Flow adjusted.,
20120109,13:48 - 14:44,Flow problems. Stopped program for major cleaning.,
